省市代碼,縣市代碼,鄉鎮市區代碼,村里代碼,村里名
63,000,010,002,莊敬里
63,000,010,003,東榮里
63,000,010,004,三民里
63,000,010,005,新益里
63,000,010,006,富錦里
63,000,010,007,新東里
63,000,010,008,富泰里
63,000,010,009,介壽里
63,000,010,010,精忠里
63,000,010,011,東光里
63,000,010,012,龍田里
63,000,010,013,東昌里
63,000,010,014,東勢里
63,000,010,015,中華里
63,000,010,016,民有里
63,000,010,017,民福里
63,000,010,018,慈祐里
63,000,010,019,安平里
63,000,010,020,鵬程里
63,000,010,021,自強里
63,000,010,022,吉祥里
63,000,010,024,新聚里
63,000,010,025,復盛里
63,000,010,026,中正里
63,000,010,027,中崙里
63,000,010,028,美仁里
63,000,010,029,吉仁里
63,000,010,030,敦化里
63,000,010,031,復源里
63,000,010,032,復建里
63,000,010,033,復勢里
63,000,010,034,福成里
63,000,010,035,松基里
63,000,020,001,西村里
63,000,020,002,正和里
63,000,020,003,興隆里
63,000,020,004,中興里
63,000,020,005,新仁里
63,000,020,006,興雅里
63,000,020,007,敦厚里
63,000,020,008,廣居里
63,000,020,009,安康里
63,000,020,010,六藝里
63,000,020,011,雅祥里
63,000,020,012,五常里
63,000,020,013,五全里
63,000,020,014,永吉里
63,000,020,015,長春里
63,000,020,016,四育里
63,000,020,017,四維里
63,000,020,018,永春里
63,000,020,019,富台里
63,000,020,020,國業里
63,000,020,021,松隆里
63,000,020,022,松友里
63,000,020,023,松光里
63,000,020,024,中坡里
63,000,020,025,中行里
63,000,020,026,大道里
63,000,020,027,大仁里
63,000,020,028,景新里
63,000,020,029,惠安里
63,000,020,030,三張里
63,000,020,031,三犁里
63,000,020,032,六合里
63,000,020,033,泰和里
63,000,020,034,景聯里
63,000,020,035,景勤里
63,000,020,036,雙和里
63,000,020,037,嘉興里
63,000,020,038,黎順里
63,000,020,039,黎平里
63,000,020,040,黎忠里
63,000,020,041,黎安里
63,000,030,001,德安里
63,000,030,002,仁慈里
63,000,030,003,和安里
63,000,030,004,民炤里
63,000,030,005,仁愛里
63,000,030,006,義村里
63,000,030,007,民輝里
63,000,030,008,昌隆里
63,000,030,009,誠安里
63,000,030,010,光武里
63,000,030,011,龍坡里
63,000,030,012,龍泉里
63,000,030,013,古風里
63,000,030,014,古莊里
63,000,030,015,龍安里
63,000,030,016,錦安里
63,000,030,017,福住里
63,000,030,018,永康里
63,000,030,019,光明里
63,000,030,020,錦泰里
63,000,030,021,錦華里
63,000,030,022,龍圖里
63,000,030,023,新龍里
63,000,030,026,龍陣里
63,000,030,027,龍雲里
